symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,ret_pct
AMZN,2024-05-07,2024-05-31,189.79000000000002,178.32999999999998,24,-275.2800000000009,-6.038252805732669
TSLA,2024-04-29,2024-06-11,188.42000000000002,168.98,24,-466.80000000000064,-10.317376074726692
JPM,2024-05-09,2024-06-11,196.67000000000002,195.31,23,-31.510000000000314,-0.6915137031575758
META,2024-06-11,2024-07-16,502.84,492.37,9,-94.31999999999974,-2.08217325590645
NVDA,2024-05-06,2024-07-17,90.75999999999999,118.02000000000001,51,1389.750000000001,30.035257822829475
MSFT,2024-05-20,2024-07-17,425.44,440.70000000000005,10,152.50000000000048,3.5868747649492327
AMZN,2024-06-12,2024-07-19,187.94,181.11999999999998,26,-177.58000000000055,-3.628817707779086
SPY,2024-05-09,2024-07-24,519.5,542.4200000000001,8,183.28000000000057,4.4119345524543
JPM,2024-07-16,2024-08-02,211.63000000000002,202.07999999999998,24,-229.44000000000096,-4.512592732599363
AAPL,2024-05-03,2024-08-05,186.67000000000002,199.07,24,297.35999999999945,6.64273852252637
AVGO,2024-08-22,2024-09-06,170.86,138.38,28,-909.7200000000005,-19.009715556596053
JPM,2024-08-22,2024-09-10,216.41,203.64,22,-281.16000000000025,-5.900836375398555
META,2024-08-13,2024-09-11,527.1999999999999,498.23,9,-260.8199999999992,-5.495068285280713
AAPL,2024-08-21,2024-09-16,227.19,216.5,21,-224.69999999999996,-4.705312733835109
TSLA,2024-09-18,2024-10-11,235.02,220.07999999999998,19,-284.05000000000047,-6.356905795251477
META,2024-09-19,2024-10-24,550.02,562.33,8,98.40000000000047,2.238100432711554
MSFT,2024-09-13,2024-10-31,427.39,408.15000000000003,10,-192.49999999999952,-4.501743138585357
NVDA,2024-10-11,2024-11-27,135.02,132.09,34,-99.96000000000024,-2.1700488816471686
SPY,2024-08-30,2024-12-20,563.93,581.75,8,142.4800000000004,3.1599666625290457
MSFT,2024-12-02,2024-12-31,429.34999999999997,421.29,11,-88.7699999999994,-1.877256317689513
AAPL,2024-11-26,2025-01-07,234.35000000000002,241.73,20,147.39999999999935,3.1491359078301473
V,2024-08-21,2025-01-10,268.58,306.62,17,646.5100000000003,14.163377764539442
AMZN,2024-09-11,2025-01-10,182.41,218.17,25,893.7499999999998,19.604188366865838
NVDA,2025-01-06,2025-01-27,148.61,124.78,32,-762.8800000000005,-16.035260076710856
MSFT,2025-01-22,2025-02-03,443.76,410.70000000000005,10,-330.6999999999995,-7.449972958355855
GOOGL,2024-10-29,2025-02-07,169.18,187.34,27,490.04999999999995,10.734129329708008
AMZN,2025-01-21,2025-02-19,231.42000000000002,223.7,20,-154.60000000000053,-3.335926021951441
JPM,2025-01-14,2025-02-24,245.71,261.68,19,303.23999999999995,6.499531968580841
WMT,2025-01-27,2025-02-24,95.92,93.43,51,-127.49999999999974,-2.595913261050875
SPY,2025-02-14,2025-02-25,610.8,590.47,7,-142.37999999999948,-3.3284217419777273
V,2025-01-21,2025-03-06,321.64,345.23,14,330.12000000000046,7.334286780251231
META,2025-05-01,2025-07-30,592.68,691.63,7,692.5800000000003,16.69534993588446
MSFT,2025-04-29,2025-08-21,394.66999999999996,503.67,11,1198.8900000000008,27.618009983023818
WMT,2025-04-23,2025-08-25,96.05,96.74000000000001,48,32.640000000000576,0.718375845913588
META,2025-07-31,2025-09-02,776.0,726.02,7,-349.9300000000001,-6.440721649484537
AVGO,2025-04-24,2025-09-17,188.08,346.17,24,3793.92,84.05465759251382
TSLA,2025-04-28,2025-09-17,289.03,425.86,16,2189.120000000001,47.34110645953709
JPM,2025-05-01,2025-09-17,247.27,311.75,18,1160.4599999999998,26.076758199538965
AMZN,2025-09-04,2025-09-17,234.10000000000002,231.62,23,-57.270000000000415,-1.05937633489962
META,2025-09-16,2025-09-17,775.8299999999999,775.72,7,-0.8399999999992998,-0.014178363816808037
